,region,city,area,rooms,toilets,price,year,month
0,abruzzo, Pescara,295m²,5+,3+,€ 257.000,2023,7
1,abruzzo, Spoltore,199m²,5+,3+,€ 235.000,2023,7
2,abruzzo, Pescara,227m²,5,3+,€ 299.000,2023,7
3,abruzzo,Appartamenti di nuova costruzione a Tortoreto,43m²,2 - 4,1,da € 165.000,2023,7
4,abruzzo, Roseto degli Abruzzi,978m²,5+,3+,€ 1.500.000,2023,7
5,abruzzo,Appartamenti e Attici di nuova costruzione a Tortoreto,44m²,2 - 3,1,da € 137.000,2023,7
6,abruzzo, Pescara,180m²,4,2,€ 460.000,2023,7
7,abruzzo, Montesilvano,45m²,2,2,€ 98.000,2023,7
8,abruzzo, Montesilvano,610m²,5+,3+,€ 790.000,2023,7
9,abruzzo, Francavilla al Mare,83m²,4,1,€ 140.000,2023,7
10,abruzzo, Ovindoli,50m²,3,1,€ 68.000,2023,7
11,abruzzo, Cappadocia,32m²,,1,€ 15.000,2023,7
12,abruzzo, Pollutri,471m²,5+,3+,€ 825.000,2023,7
13,abruzzo, Pescara,109m²,4,2,€ 219.000,2023,7
14,abruzzo, Alanno,350m²,5+,1,€ 59.000,2023,7
15,abruzzo, Alba Adriatica,146m²,5,2,€ 215.000,2023,7
16,abruzzo, Ortona,132m²,5+,2,€ 135.000,2023,7
17,abruzzo, Torrevecchia Teatina,151m²,2,1,"da € 28.282,00",2023,7
18,abruzzo, Pescara,235m²,4,2,€ 179.000,2023,7
19,abruzzo, L'Aquila,250m²,5+,2,"€ 350.000€ 399.000(-12,3%)",2023,7
20,abruzzo, Tortoreto,869m²,5+,3,€ 820.000,2023,7
21,abruzzo, Pineto,115m²,3,2,€ 165.000,2023,7
22,abruzzo, Francavilla al Mare,55m²,3,1,€ 119.000,2023,7
23,abruzzo, Avezzano,110m²,5+,2,€ 190.000,2023,7
24,abruzzo, Francavilla al Mare,97m²,3,2,"€ 113.000€ 119.000(-5,0%)",2023,7
25,abruzzo, Notaresco,330m²,5+,2,€ 130.000,2023,7
26,abruzzo, Montesilvano,405m²,5,3+,€ 399.000,2023,7
27,abruzzo, Pescara,79m²,2,1,€ 145.000,2023,7
28,abruzzo, Pescara,75m²,3,1,€ 117.000,2023,7
29,abruzzo, Pescara,100m²,3,2,€ 139.000,2023,7
30,abruzzo, L'Aquila,153m²,5,2,€ 370.000,2023,7
31,abruzzo, Teramo,100m²,4,2,€ 66.000,2023,7
32,abruzzo, Montesilvano,89m²,4,2,€ 178.000,2023,7
33,abruzzo, Pescara,114m²,4,1,"€ 185.000€ 210.000(-11,9%)",2023,7
34,abruzzo, Montesilvano,163m²,4,2,€ 208.000,2023,7
35,abruzzo, Montesilvano,359m²,5+,3,€ 495.000,2023,7
36,abruzzo, Silvi,68m²,3,2,€ 96.000,2023,7
37,abruzzo, Silvi,125m²,4,3,€ 165.000,2023,7
38,abruzzo, Silvi,62m²,3,1,€ 78.000,2023,7
39,abruzzo, Ovindoli,73m²,3,1,€ 145.000,2023,7
40,abruzzo, San Salvo,120m²,4,2,€ 135.000,2023,7
41,abruzzo, Pescara,110m²,4,1,€ 170.000,2023,7
42,abruzzo, Silvi,65m²,3,1,€ 165.000,2023,7
43,abruzzo,Appartamenti di nuova costruzione a Pescara,75m²,,1,Prezzo su richiesta,2023,7
44,abruzzo, Pescara,154m²,5+,2,€ 168.000,2023,7
45,abruzzo, Teramo,119m²,4,2,€ 125.000,2023,7
46,abruzzo, Teramo,138m²,4,2,€ 118.000,2023,7
47,abruzzo, Pescara,112m²,5,2,€ 159.000,2023,7
48,abruzzo, Pescara,182m²,5+,3,€ 139.000,2023,7
49,abruzzo, Pescara,135m²,5,1,€ 179.000,2023,7
50,abruzzo, Chieti,1.180m²,5+,3+,Prezzo su richiesta,2023,7
51,abruzzo, Pescara,60m²,3,1,€ 127.000,2023,7
52,abruzzo, San Salvo,100m²,3,1,€ 105.000,2023,7
53,abruzzo, Francavilla al Mare,77m²,2,1,€ 180.000,2023,7
54,abruzzo, Avezzano,84m²,3,2,€ 160.000,2023,7
55,abruzzo, Pescara,100m²,4,2,€ 385.000,2023,7
56,abruzzo, Pescara,207m²,5+,3,€ 183.000,2023,7
57,abruzzo, Cepagatti,226m²,5,2,€ 190.000,2023,7
58,abruzzo, Alba Adriatica,65m²,3,2,€ 255.000,2023,7
59,abruzzo, Teramo,254m²,5+,3+,€ 260.000,2023,7
60,abruzzo, Roccaraso,70m²,3,1,€ 365.000,2023,7
61,abruzzo, Avezzano,260m²,5+,3+,€ 535.000,2023,7
62,abruzzo,Appartamenti e Attici di nuova costruzione a Tortoreto,82m²,4 - 5,1,da € 165.000,2023,7
63,abruzzo, Avezzano,130m²,4,2,€ 115.000,2023,7
64,abruzzo, Pescara,104m²,4,1,€ 178.000,2023,7
65,abruzzo, Pescara,200m²,4,3+,€ 365.000,2023,7
66,abruzzo, Montesilvano,150m²,4,2,€ 265.000,2023,7
67,abruzzo, Chieti,131m²,4,1,€ 130.000,2023,7
68,abruzzo, San Salvo,60m²,2,1,€ 85.000,2023,7
69,abruzzo, Pescara,150m²,4,1,€ 180.000,2023,7
70,abruzzo, Alba Adriatica,61m²,3,1,€ 173.000,2023,7
71,abruzzo, Montesilvano,201m²,5+,3+,€ 280.000,2023,7
72,abruzzo, Montesilvano,65m²,3,1,€ 163.600,2023,7
73,abruzzo, Rocca San Giovanni,137m²,4,3,"€ 160.000€ 190.000(-15,8%)",2023,7
74,abruzzo, Tortoreto,58m²,3,1,€ 133.000,2023,7
75,abruzzo, Pescara,130m²,3,1,€ 168.000,2023,7
76,abruzzo, Pescara,100m²,4,2,€ 265.000,2023,7
77,abruzzo, Montesilvano,95m²,4,2,€ 257.000,2023,7
78,abruzzo, Teramo,210m²,5+,3,€ 199.000,2023,7
79,abruzzo, Tortoreto,106m²,3,1,"da € 144.202,00",2023,7
80,abruzzo, Pescara,250m²,5+,3+,€ 329.000,2023,7
81,abruzzo, Montesilvano,85m²,3,2,€ 222.000,2023,7
82,abruzzo, Pescara,240m²,5,2,€ 230.000,2023,7
83,abruzzo, Silvi,466m²,5+,3,€ 295.000,2023,7
84,abruzzo, Roccaraso,35m²,,1,€ 129.000,2023,7
85,abruzzo, Francavilla al Mare,205m²,5,2,€ 470.000,2023,7
86,abruzzo, Spoltore,165m²,4,2,€ 155.000,2023,7
87,abruzzo, Pescara,41m²,2,1,€ 88.000,2023,7
88,abruzzo, Torino di Sangro,60m²,3,1,"da € 46.953,00",2023,7
89,abruzzo, Pescara,129m²,4,2,"€ 275.000€ 295.000(-6,8%)",2023,7
90,abruzzo, Chieti,220m²,4,1,€ 225.000,2023,7
91,abruzzo, Pescara,120m²,4,2,€ 179.000,2023,7
92,abruzzo, Montesilvano,115m²,5,2,€ 278.000,2023,7
93,abruzzo, Pescara,99m²,4,1,€ 195.000,2023,7
94,abruzzo, L'Aquila,140m²,4,2,€ 269.000,2023,7
95,abruzzo, Pescara,164m²,5,2,€ 230.000,2023,7
96,abruzzo, Pescara,100m²,3,1,€ 123.000,2023,7
97,abruzzo, Pianella,164m²,5,3,€ 199.000,2023,7
98,abruzzo, Giulianova,59m²,3,1,€ 190.000,2023,7
99,abruzzo, Pescara,124m²,4,2,€ 293.800,2023,7
100,abruzzo, Colonnella,180m²,5,3,€ 265.000,2023,7
101,abruzzo, Martinsicuro,60m²,3,1,€ 118.000,2023,7
102,abruzzo, Città Sant'Angelo,260m²,5+,2,€ 160.000,2023,7
103,abruzzo, Pescara,115m²,4,2,€ 144.000,2023,7
104,abruzzo, Giulianova,78m²,3,2,€ 230.000,2023,7
105,abruzzo, Pescara,70m²,3,1,€ 153.300,2023,7
106,abruzzo, Pescara,130m²,5,1,€ 230.000,2023,7
107,abruzzo, Pescara,122m²,5,2,€ 239.000,2023,7
108,abruzzo, Pescara,90m²,3,1,€ 210.000,2023,7
109,abruzzo, Pescara,190m²,5,3,€ 420.000,2023,7
110,abruzzo, Alba Adriatica,70m²,3,2,€ 115.000,2023,7
111,abruzzo, Giulianova,300m²,5+,3+,Prezzo su richiesta,2023,7
112,abruzzo, L'Aquila,110m²,4,1,€ 160.000,2023,7
113,abruzzo, Pescara,177m²,5,3,€ 700.000,2023,7
114,abruzzo, Castel di Sangro,55m²,3,1,€ 75.000,2023,7
115,abruzzo, Teramo,145m²,4,2,€ 129.000,2023,7
116,abruzzo, Francavilla al Mare,340m²,5+,2,€ 320.000,2023,7
117,abruzzo, Pescara,102m²,3,2,€ 218.000,2023,7
118,abruzzo, Pescara,115m²,4,2,€ 229.000,2023,7
119,abruzzo, San Giovanni Teatino,105m²,4,2,€ 245.000,2023,7
120,abruzzo, Sant'Omero,300m²,5+,3,€ 389.000,2023,7
121,abruzzo, Pescara,160m²,4,2,€ 710.000,2023,7
122,abruzzo, Francavilla al Mare,101m²,3,2,€ 169.000,2023,7
123,abruzzo, Martinsicuro,766m²,5+,3,€ 1.700.000,2023,7
124,abruzzo, Rosciano,125m²,4,2,€ 140.000,2023,7
125,abruzzo, Pescara,86m²,3,1,€ 75.000,2023,7
126,abruzzo, San Giovanni Teatino,93m²,4,2,€ 139.000,2023,7
127,abruzzo, Pescara,240m²,5,3,€ 630.000,2023,7
128,abruzzo, Pescara,93m²,3,1,€ 210.000,2023,7
129,abruzzo, San Giovanni Teatino,85m²,3,2,€ 163.000,2023,7
