,region,city,area[m2],rooms,toilets,price[€]
0,Abruzzo, Pescara,89,3,1,75000
1,Abruzzo, Spoltore,199,5+,3+,235000
2,Abruzzo, Pescara,227,5,3+,299000
3,Abruzzo,Appartamenti di nuova costruzione a Tortoreto,43,2 - 4,1,0
4,Abruzzo, Roseto degli Abruzzi,978,5+,3+,1500000
5,Abruzzo,Appartamenti e Attici di nuova costruzione a Tortoreto,44,2 - 3,1,0
6,Abruzzo, Pescara,180,4,2,460000
7,Abruzzo, Montesilvano,610,5+,3+,790000
8,Abruzzo, Montesilvano,45,2,2,98000
9,Abruzzo, Francavilla al Mare,83,4,1,140000
10,Abruzzo, Ovindoli,50,3,1,68000
11,Abruzzo, Cappadocia,32,,1,15000
12,Abruzzo, Pollutri,471,5+,3+,825000
13,Abruzzo, Pescara,109,4,2,219000
14,Abruzzo, Alanno,350,5+,1,59000
15,Abruzzo, Chieti,521,5+,3+,880000
16,Abruzzo, Alba Adriatica,146,5,2,215000
17,Abruzzo, Ortona,132,5+,2,135000
18,Abruzzo, Torrevecchia Teatina,151,2,1,0
19,Abruzzo, Pescara,235,4,2,179000
20,Abruzzo, L'Aquila,250,5+,2,399000
21,Abruzzo, Tortoreto,869,5+,3,820000
22,Abruzzo, Pineto,45,2,1,50000
23,Abruzzo, Notaresco,110,3,1,49000
24,Abruzzo, Avezzano,110,5+,2,190000
25,Abruzzo, Francavilla al Mare,55,3,1,119000
26,Abruzzo, Francavilla al Mare,97,3,2,0
27,Abruzzo, Montesilvano,405,5,3+,399000
28,Abruzzo, Pescara,79,2,1,145000
29,Abruzzo, Pescara,100,3,2,139000
30,Abruzzo, Pescara,75,3,1,117000
31,Abruzzo, L'Aquila,153,5,2,370000
32,Abruzzo, Montesilvano,89,4,2,178000
33,Abruzzo, Teramo,100,4,2,66000
34,Abruzzo, Pescara,114,4,1,0
35,Abruzzo, Montesilvano,163,4,2,208000
36,Abruzzo, Montesilvano,359,5+,3,495000
37,Abruzzo, Silvi,125,4,3,165000
38,Abruzzo, Silvi,62,3,1,78000
39,Abruzzo, Silvi,68,3,2,96000
40,Abruzzo, Ovindoli,73,3,1,145000
41,Abruzzo, San Salvo,120,4,2,135000
42,Abruzzo, Pescara,110,4,1,170000
43,Abruzzo, Silvi,65,3,1,165000
44,Abruzzo,Appartamenti di nuova costruzione a Pescara,75,,1,0
45,Abruzzo, Pescara,154,5+,2,168000
46,Abruzzo, Teramo,119,4,2,125000
47,Abruzzo, Teramo,138,4,2,118000
48,Abruzzo, Pescara,112,5,2,159000
49,Abruzzo, Pescara,182,5+,3,139000
50,Abruzzo, Pescara,135,5,1,179000
51,Abruzzo, Chieti,1,5+,3+,0
52,Abruzzo, Pescara,60,3,1,127000
53,Abruzzo, San Salvo,100,3,1,105000
54,Abruzzo, Francavilla al Mare,77,2,1,180000
55,Abruzzo, Avezzano,84,3,2,160000
56,Abruzzo, Pescara,100,4,2,385000
57,Abruzzo, Pescara,207,5+,3,183000
58,Abruzzo, Cepagatti,226,5,2,190000
59,Abruzzo, Alba Adriatica,65,3,2,255000
60,Abruzzo, Teramo,254,5+,3+,260000
61,Abruzzo, Alba Adriatica,42,2,1,128000
62,Abruzzo, Roccaraso,70,3,1,370000
63,Abruzzo, Avezzano,260,5+,3+,535000
64,Abruzzo,Appartamenti e Attici di nuova costruzione a Tortoreto,82,4 - 5,1,0
65,Abruzzo, Avezzano,130,4,2,115000
66,Abruzzo, Ortona,90,4,2,115000
67,Abruzzo, Pescara,104,4,1,178000
68,Abruzzo, Pescara,200,4,3+,365000
69,Abruzzo, Montesilvano,150,4,2,265000
70,Abruzzo, Alba Adriatica,61,3,1,173000
71,Abruzzo, San Salvo,60,2,1,85000
72,Abruzzo, Pescara,150,4,1,180000
73,Abruzzo, Chieti,131,4,1,130000
74,Abruzzo, Montesilvano,201,5+,3+,280000
75,Abruzzo, Pescara,130,3,1,168000
76,Abruzzo, Rocca San Giovanni,137,4,3,190000
77,Abruzzo, Montesilvano,65,3,1,163600
78,Abruzzo, Montesilvano,95,4,2,257000
79,Abruzzo, Tortoreto,106,3,1,0
80,Abruzzo, Teramo,210,5+,3,199000
81,Abruzzo, Pescara,100,4,2,265000
82,Abruzzo, Silvi,466,5+,3,295000
83,Abruzzo, Montesilvano,85,3,2,222000
84,Abruzzo, Roccaraso,35,,1,129000
